# Hasła bez symetrycznego odwzorowania
Cesarz	gong-piao
Geograficzne Centrum	luan-huai
Jelito cienkie	jia-tui
Jelito grube	zhui-wen
Niedobór	nu-xun
Pęcherz moczowy	seng-da
Pęcherzyk żółciowy	ruo-dao
Płuco	ren-ban
aby pokonać twardość	ci-die
adept	ma-cha
aktualizować	wei-bin
ale używany)	jun-qi
alkohol	geng-peng
altair	guango-ku
altair (pasterz wołów	guango-ku
amitabha	mo-wan-huang
apatyczny	dong-shuan
arystokratyczny	gui
ashikagama	ashikagama
aspekt trwający	nei
atrakcyjny	ne-lai
bagno	huai-luan
bawełna	zhe-qin
bezlitosny	nei-sun
bliscy	sang-zao
bo	gun
bob	caio-er
brama	rong-ji
brama góry	shano-sun
brat cioteczny	gen-da
broda	yao-ru
browarnik	cheng-yuan
brutalny	cang-bing
bryła	xiong-wa
burzyć	cuan-yong
bystry	kai-ha
bóstw)	si-mu
bóstwo	dai-pa
błyszczący	diu-zhai
cal	ju-le
całkiem	eng-bin
cały	si-zhai
cel	geng-heng
cena zakupu	che-hong
cenny	eng-hei
charakter	ao-long
charakter (rzeczy)	ao-long
chen Lu	chen-lu
chodzić	di-cu
choroba	mian-lue
chorągiew	miu-du
chropowaty	mo-sou
chusta	si-mo
chwała	rongo
chwytać	cang-huang
ciekawy	qu-yuan
cieśla	xin-hou
ciocia	he-zhuan
ciotka	lang-ku
ciężkość	yun-bing
cnota	zhi-zhai
cofać się	nie-wu
czający się tygrys	tigo-ge
czający się tygrys (idiom)	tigo-ge
czarny wojownik	sheo-da
czarny wojownik (kierunek północ)	sheo-da
czarny wojownik, żółw i wąż	sheo-da
czcigodny	si-mu
czcigodny (dla władców	si-mu
czerwony ptak	mao-ban
cztery skarby gabinetu	zhio-chu-o
cztery skarby gabinetu (pędzel	zhio-chu-o
czysty	cha-che
czyścić	cha-jing
członek sekty	kuo-kun
dbający	kao-dao
debata	dang-hang
degustować	lue-xiu
dekoracja	nue-nou
delektować się	lue-xiu
delikatny	sui-liao
delikatny	xin-pan
delikatny	zha-mang
demon	hao-quan
dmuchać	shio-han
dobrobyt	geng-nuan-tuan
dobry	nue-han
dobrze	suo-zhua
dodatkowy	zi-lang
dogodny	ceng-zun
doktor	lei-gun
dokładny	liao-ri
doskonały	o-yang
dostarczać	ting-gen
dotrzeć	tiao-chou
doświadczać	ai-cui
dość	eng-bin
drapiący	mo-sou
drobny	mang-lao
drążek	miu-nin
duch	lue-ning
duma	rongo-pao
dywan	ken-xing
dzban	nun-jiao
działanie	cha-wu
dzielić	guo-liang
dzieło	juan-tuo
dzikie pole	man-pu
dziwny	zan-hu
dążyć do celu	nue-ze
długowieczność	geng-nuan-tuan
dźgać	gu-che
dźwigać	ne-nei
dźwięczny	cha-che
efekt	cha-wu
eksploracja	zhun-nun
emocja	chan-kou
energiczny	bian-ruo
entuzjastyczny	ne-chong
entuzjazm	za-qing
epoka	hai-le
era	hai-le
esej	sheng-ben
etap	tou-qiang
etap	zou-gui
etykieta	miao-ju
faktyczny	shuai-ga
fantazja	zan-shou
fasola	caio-er
faza	tou-qiang
fałszywy	de-shun
fermentować	shun-bu
forma	chu-a
fortuna	geng-nuan-tuan
ganić	cen-bu
