CHINESE CONTAMINATION CHECK - LENGXUAN DICTIONARY
================================================================================

Date: 2026-01-28
Total codes analyzed: 2718

EXACT MATCHES:
Found 1309 matches

  a-er-ma → er (syllable)
  a-er-ma → ma (syllable)
  a-qian → qian (syllable)
  ai-ma → ma (syllable)
  an-guo → guo (syllable)
  an-shi → shi (syllable)
  ba → ba (exact)
  ba → ba (syllable)
  ba-niu → ba (syllable)
  ba-wang → ba (syllable)
  ba-xue → ba (syllable)
  ba-xue → xue (syllable)
  ba-za → ba (syllable)
  bai → bai (exact)
  bai → bai (syllable)
  bai-nang → bai (syllable)
  bai-pai → bai (syllable)
  bai-wan → bai (syllable)
  bai-wan → wan (syllable)
  bai-xiong → bai (syllable)
  bai-zou → bai (syllable)
  bai-zou → zou (syllable)
  ban-xie → xie (syllable)
  ban-zhan → zhan (syllable)
  bang-bai → bai (syllable)
  bei-de → de (syllable)
  beng-gao → gao (syllable)
  beng-kan → kan (syllable)
  beng-ze → ze (syllable)
  bi-ma → ma (syllable)
  bi-zhen → zhen (syllable)
  bian-huang → huang (syllable)
  bian-ruo → ruo (syllable)
  biao-huai → huai (syllable)
  bie-men-xin → men (syllable)
  bie-you → you (syllable)
  bin-he → he (syllable)
  bin-hei → hei (syllable)
  bin-ze → ze (syllable)
  bing-du → du (syllable)
  bing-wo → wo (syllable)
  bo-zhe → zhe (syllable)
  bu → bu (exact)
  bu → bu (syllable)
  bu-ba → bu (syllable)
  bu-ba → ba (syllable)
  bu-pao → bu (syllable)
  bu-pao → pao (syllable)
  ca-fu → fu (syllable)
  cang-huang → huang (syllable)
  cang-jiu → jiu (syllable)
  cang-liu-zhang → liu (syllable)
  cang-suo → suo (syllable)
  cang-ze → ze (syllable)
  ce-er → er (syllable)
  ce-wo → wo (syllable)
  cen-bai → bai (syllable)
  cen-bu → bu (syllable)
  cen-pao → pao (syllable)
  ceng-cun → cun (syllable)
  ceng-feng → feng (syllable)
  ceng-wo → wo (syllable)
  cha-che → che (syllable)
  cha-cun → cun (syllable)
  cha-huai → huai (syllable)
  cha-huang → huang (syllable)
  cha-suo → suo (syllable)
  cha-wu → wu (syllable)
  cha-zhan-bao → zhan (syllable)
  chai-duan → duan (syllable)
  chan-di → di (syllable)
  chan-gan-duan → duan (syllable)
  chan-miao → miao (syllable)
  chan-ni → ni (syllable)
  chan-ruo → ruo (syllable)
  chang-man → chang (syllable)
  chang-run → chang (syllable)
  chang-ruo → chang (syllable)
  chang-ruo → ruo (syllable)
  chang-yan → chang (syllable)
  chang-yan → yan (syllable)
  chang-yong → chang (syllable)
  chang-zhuo → chang (syllable)
  chao-le → le (syllable)
  chao-shuo → shuo (syllable)
  chao-ta → ta (syllable)
  chao-ye → ye (syllable)
  che → che (exact)
  che → che (syllable)
  che-ao → che (syllable)
  che-hong → che (syllable)
  che-hong → hong (syllable)
  che-tao → che (syllable)
  che-yao → che (syllable)
  che-ze → che (syllable)
  che-ze → ze (syllable)
  chen-yue → yue (syllable)
  cheng-chen → cheng (syllable)
  cheng-gang → cheng (syllable)
  cheng-liao → cheng (syllable)
  cheng-lu → cheng (syllable)
  cheng-ni-pai → cheng (syllable)
  cheng-ni-pai → ni (syllable)
  cheng-suan → cheng (syllable)
  cheng-teng → cheng (syllable)
  cheng-yuan → cheng (syllable)
  chi → chi (exact)
  chi → chi (syllable)
  chi-cong → chi (syllable)
  chi-fa-duo → chi (syllable)
  chi-guang → chi (syllable)
  chi-jing-shui → chi (syllable)
  chi-jing-shui → shui (syllable)
  chi-mie → chi (syllable)
  chi-qia-zui → chi (syllable)
  chi-shang → chi (syllable)
  chi-she → chi (syllable)
  chong-tiao → tiao (syllable)
  chou-guo → guo (syllable)
  chou-zhen → zhen (syllable)
  chua-cheng → cheng (syllable)
  chua-shan → shan (syllable)
  chuai-lin → lin (syllable)
  chuan-che → che (syllable)
  chuan-jiu → jiu (syllable)
  chuang → chuang (exact)
  chuang → chuang (syllable)
  chuang-cao → chuang (syllable)
  chuang-hun → chuang (syllable)
  chuang-peng → chuang (syllable)
  chuang-rui → chuang (syllable)
  chuang-weng → chuang (syllable)
  chuang-xi → chuang (syllable)
  chui-kan → kan (syllable)
  chun-xue → xue (syllable)
  ci-ne → ne (syllable)
  ci-shi → shi (syllable)
  ci-shuo → shuo (syllable)
  cong-kuo-hua → hua (syllable)
  cong-ni → ni (syllable)
  cou-bai → bai (syllable)
  cou-chang → chang (syllable)
  cou-ruo → ruo (syllable)
  cu-wei → wei (syllable)
  cu-xie → xie (syllable)
  cui-de → de (syllable)
  cun → cun (exact)
  cun → cun (syllable)
  cun-kuang → cun (syllable)
  cun-li → cun (syllable)
  cun-lou → cun (syllable)
  cun-run → cun (syllable)
  cun-ze → cun (syllable)
  cun-ze → ze (syllable)
  da → da (exact)
  da → da (syllable)
  da-cheng → da (syllable)
  da-cheng → cheng (syllable)
  da-dui → da (syllable)
  da-fei → da (syllable)
  da-ri → da (syllable)
  da-ri → ri (syllable)
  da-shuo → da (syllable)
  da-shuo → shuo (syllable)
  da-sun → da (syllable)
  da-tuo-rao → da (syllable)
  da-wang → da (syllable)
  da-xun → da (syllable)
  da-yang → da (syllable)
  da-zhu → da (syllable)
  da-zhuan → da (syllable)
  da-zou → da (syllable)
  da-zou → zou (syllable)
  dai-pao → pao (syllable)
  dan-che → che (syllable)
  dan-di → di (syllable)
  dang-hao → hao (syllable)
  dang-ruo → ruo (syllable)
  de → de (exact)
  de → de (syllable)
  de-jun → de (syllable)
  de-seng → de (syllable)
  de-shun → de (syllable)
  de-tian → de (syllable)
  de-tian → tian (syllable)
  de-wu → de (syllable)
  de-wu → wu (syllable)
  de-zha → de (syllable)
  de-zhai → de (syllable)
  dei → dei (exact)
  dei → dei (syllable)
  dei-gun → dei (syllable)
  dei-kei → dei (syllable)
  dei-xue → dei (syllable)
  dei-xue → xue (syllable)
  di → di (exact)
  di → di (syllable)
  di-cu → di (syllable)
  di-dao → di (syllable)
  di-fan → di (syllable)
  di-zao → di (syllable)
  dia-dei → dei (syllable)
  dian-ba → ba (syllable)
  dian-kan → kan (syllable)
  dian-zhan → zhan (syllable)
  diao-ren → ren (syllable)
  diao-you → you (syllable)
  die-hai → hai (syllable)
  die-you-jue → you (syllable)
  die-zhao-cheng → cheng (syllable)
  ding-suo → suo (syllable)
  diu-hei → hei (syllable)
  diu-liu → liu (syllable)
  diu-wei → wei (syllable)
  dong-chang → chang (syllable)
  dong-er → er (syllable)
  dong-zuo → zuo (syllable)
  dou-ci-wu → wu (syllable)
  du → du (exact)
  du → du (syllable)
  du-bi → du (syllable)
  du-luo → du (syllable)
  du-nin → du (syllable)
  du-xiong → du (syllable)
  du-ying → du (syllable)
  duan → duan (exact)
  duan → duan (syllable)
  duan-cuan → duan (syllable)
  duan-he-hua → duan (syllable)
  duan-he-hua → he (syllable)
  duan-he-hua → hua (syllable)
  duan-luo → duan (syllable)
  duan-ri → duan (syllable)
  duan-ri → ri (syllable)
  duan-suo → duan (syllable)
  duan-suo → suo (syllable)
  dui-bai-suan → bai (syllable)
  dui-chang-shuai → chang (syllable)
  dui-gao → gao (syllable)
  dui-ting → ting (syllable)
  duo-gu → gu (syllable)
  duo-pao → pao (syllable)
  duo-wan → wan (syllable)
  duo-zuo-a → zuo (syllable)
  ei-ma → ma (syllable)
  ei-mu → mu (syllable)
  ei-ni → ni (syllable)
  ei-ruo → ruo (syllable)
  en-dun-le → le (syllable)
  en-si → si (syllable)
  eng-hei → hei (syllable)
  eng-nian-po → nian (syllable)
  eng-shu → shu (syllable)
  er → er (exact)
  er → er (syllable)
  er-ba → er (syllable)
  er-ba → ba (syllable)
  er-da → er (syllable)
  er-da → da (syllable)
  er-fou → er (syllable)
  er-nie → er (syllable)
  er-ye → er (syllable)
  er-ye → ye (syllable)
  fa-gu → gu (syllable)
  fa-ren → ren (syllable)
  fa-san-xing → san (syllable)
  fa-wu → wu (syllable)
  fang-wo → wo (syllable)
  fen-shuo → shuo (syllable)
  fen-wan → wan (syllable)
  feng → feng (exact)
  feng → feng (syllable)
  feng-biao → feng (syllable)
  feng-pian → feng (syllable)
  feng-su → feng (syllable)
  feng-zheng → feng (syllable)
  feng-zhuan → feng (syllable)
  fo → fo (exact)
  fo → fo (syllable)
  fo-jiong → fo (syllable)
  fo-mao → fo (syllable)
  fo-nuan → fo (syllable)
  fo-ping → fo (syllable)
  fo-qiao → fo (syllable)
  fo-qun → fo (syllable)
  fo-sun → fo (syllable)
  fo-you-zuo → fo (syllable)
  fo-you-zuo → you (syllable)
  fo-you-zuo → zuo (syllable)
  fo-yuan → fo (syllable)
  fou-duan → duan (syllable)
  fu → fu (exact)
  fu → fu (syllable)
  fu-diu → fu (syllable)
  fu-jun → fu (syllable)
  fu-mai → fu (syllable)
  fu-qia → fu (syllable)
  fu-qiong → fu (syllable)
  fu-suan → fu (syllable)
  fu-xue → fu (syllable)
  fu-xue → xue (syllable)
  fu-ze → fu (syllable)
  fu-ze → ze (syllable)
  fu-zou → fu (syllable)
  fu-zou → zou (syllable)
  gao → gao (exact)
  gao → gao (syllable)
  gao-beng → gao (syllable)
  gao-de → gao (syllable)
  gao-de → de (syllable)
  gao-feng → gao (syllable)
  gao-feng → feng (syllable)
  gao-ha → gao (syllable)
  gao-jiao → gao (syllable)
  gao-jiao → jiao (syllable)
  gao-luo → gao (syllable)
  gao-niang → gao (syllable)
  gao-qie → gao (syllable)
  gao-ta → gao (syllable)
  gao-ta → ta (syllable)
  ge-shui → shui (syllable)
  gei-fu → fu (syllable)
  gei-mu → mu (syllable)
  gen-da → da (syllable)
  gen-du → du (syllable)
  gen-jiao → jiao (syllable)
  geng-guo → guo (syllable)
  geng-zuo → zuo (syllable)
  gong-cheng-ren → cheng (syllable)
  gong-cheng-ren → ren (syllable)
  gong-de → de (syllable)
  gong-ren → ren (syllable)
  gu → gu (exact)
