0	kong
1	gan
10	teng
11	beno
12	mou
13	qiu
14	zhuo
15	pei
16	kua
17	jieo
18	ran
19	jue
2	hun
20	zun
3	cen
4	pan
5	sai
7	kou
8	niu
9	yaon
Akademia konfucjańska	dian-ba
Cesarz	gong-piao
Cesarz (tytuł)	gong-piao
Cesarzowa	pan-tu
Cesarzowa wdowa	tie-dei
Dynastia	dui-juan
Geograficzne Centrum	luan-huai
Jelito cienkie	jia-tui
Jelito cienkie (organ TCM)	jia-tui
Jelito grube	zhui-wen
Jelito grube (organ TCM)	zhui-wen
Minister	fu-ze
Ministerstwo Dochodów	nano-rua
Ministerstwo Personelu	zei-mao
Ministerstwo Sprawiedliwości	dui-qiong
Ministerstwo Wojny	lao-ceng
Niedobór	nu-xun
Niedobór (TCM)	nu-xun
Pęcherz moczowy	seng-da
Pęcherz moczowy (organ TCM)	seng-da
Pęcherzyk żółciowy	ruo-dao
Pęcherzyk żółciowy (organ TCM)	ruo-dao
Płuco	ren-ban
Płuco (organ TCM)	ren-ban
Turniej Boskiego Cesarza	lue-zhuan
aby pokonać twardość	ci-die
adept	ma-cha
agat	kei-niang
akapit	shan-zuo
aksamitny	zang-fou
aktualizować	wei-bin
akupunktura i moksybucja	mi-ba
akupunkturzysta	mi-ba-ren
albo	douo
ale	tan
ale używany)	jun-qi
alkohol	geng-peng
alkohol, wino	geng-peng
altair	guango-ku
altair (pasterz wołów	guango-ku
altair (pasterz wołów, gwiazda)	guango-ku
aluzja klasyczna	wa-nuan
ametyst	a-yin-gen
amitabha	mo-wan-huang
amitabha (mantra)	mo-wan-huang
amulet ochronny	cuo-fa-duo
ananas	kuang-qing
ani trochę	fang-zhao
anyż gwiaździsty	liao-qia
apatyczny	dong-shuan
apteka	tuo-luo
arbuz	guoo-can
architekt	lian-reng-ren
architektura	lian-reng
argumentować	ca-li
arhat	feng-pian
armia	wu-xuan
aromat	ne-gu
aromatyczny	dui-za
artykuł	shui-ai
arystokratyczny	gui
ashikagama	ashikagama
ashikagama (nazwa własna)	ashikagama
aspekt trwający	nei
aspekt trwający (marker)	nei
astragalus	li-lang
astronomia	zuan-zhi
atakować	sun-kan
atractylodes	tan-da
atrakcyjny	ne-lai
auspicyjny	chuang-weng
autor	gen-pa
autorytet	run-hai
autostrada	en-dun-le
ba-Xue mian-kou	niu-rong
babcia	dan-shun
babcia od matki	ei-ma
babcia od ojca	cu-ran
badania	wen-bei
bagno	huai-luan
bagno, mokradła	huai-luan
bakłażan	zhan-ti
balustrada	da-xun
bambus	zhuo-ming
bambus łzawy	zhuo-que
bambusa rdzawa	zhuo-mang
banan	guoo-gan
bank	pie-miu
bankiet	jue-la
banknot srebrny	liu-kao
bar	gong-gei
baran	kao-fa
baranina	rouo-de
bardzo	beio
bardzo ciężki	zhui-za
bardzo szybki	cu-wei
baron	cuan-qing
barwienie	pu-cha
barwnik	zhong-yue
basen	ti-dun-ou
bat jeździecki	tuan-jiong
bawełna	zhe-qin
bawełna (tkanina)	zhe-qin
bawół wodny	niuo-wo
bać się	ru
belka	pi-ri
bezcenny	lang-shang
bezlitosny	nei-sun
bezpieczeństwo	diao-eng
bezpiecznej podróży	gen-hen-jiang
beżowy	beng-dao
biała herbata	gango-eng
biała rosa	de-seng
biały	miu
biały tygrys	tigo-zen
biblioteka	xu-pu-nei
bicie dzwonu	shun-you
bicz	fo-jiong
bicz dziewięcioczłonowy	jia-jia-fo
biec	le
biegać	gan-a
bielizna	shuai-nei
biodro	bian-xian
biografia	se-shang
biurko	pen-kei
bić pokłony	zhuo-qun
bić w bęben	suo-pai
bliscy	sang-zao
bliscy,	sang-zao
bliski	gua
blokować	can-quan
bo	gun
bo / ponieważ	gun
bob	caio-er
bodhisattwa	pan-gong
bogactwo	rong-cang
bogaty	nue
bracia	wen-ling
brama	rong-ji
brama (budowla)	rong-ji
brama góry	shano-sun
brama góry (klasztoru)	shano-sun
bransoletka	xi-suo
brat	rui
brat cioteczny	gen-da
brat cioteczny (młodszy)	gen-da
brać kąpiel	mie-ken
broda	yao-ru
broda, wąsy	yao-ru
brokat	zei-fu
bronić się	ye-kua
browarnik	cheng-yuan
browarnik, gorzelnik	cheng-yuan
broń	chui-kan
brudny	huao
brutalny	cang-bing
brutalny, gwałtowny	cang-bing
brwi	ding-han
bryła	xiong-wa
brzeg rzeki	heo-yue
brzoskwinia	guoo-nuo
brzuch	de-tian
brzydki	kui
