pl	lx	note
On/ona być miejsce	cou ai re-mang mo	synthetic
Ty być zły.	nio ai nuo.	synthetic
Ty partykuła posiadania/określenia choroba (formalne).	nio zhai mian-lue.	synthetic
Ty negacja (nie) słuchać klęczeć.	nio daoo fu gun-wan.	synthetic
Jeśli ty jeść lato, ty pić woda.	jiao nio ji yan-ang, nio ju zhe.	synthetic
Ja słuchać drabina	ao fu xian-miao mo	synthetic
Ja być silny.	ao ai run-zhao.	synthetic
Przyjść tutaj.	ci kuan-kua.	synthetic
Ty pochodzić z / wywodzić się tutaj.	nio rǎo-ci kuan-kua.	synthetic
My wracać.	lano cu.	synthetic
Jeśli on/ona jeść zawiadomienie, on/ona pić woda.	jiao cou ji gang-chun, cou ju zhe.	synthetic
On/ona negacja (nie) wiedzieć lis.	cou daoo ga hulo-bi.	synthetic
My być miejsce	lano ai re-mang mo	synthetic
Ty mówić wino	nio bi geng mo	synthetic
Wracać dom.	cu shio.	synthetic
On/ona być silny.	cou ai run-zhao.	synthetic
My pochodzić z / wywodzić się tutaj.	lano rǎo-ci kuan-kua.	synthetic
On/ona mówić trzy	cou bi cen-cao mo	synthetic
My być zły.	lano ai nuo.	synthetic
Ty pić osiem	nio ju xun-sun mo	synthetic
Ty pochodzić z / wywodzić się dom.	nio rǎo-ci shio.	synthetic
Jeśli my jeść starożytna, my pić woda.	jiao lano ji hun-bang, lano ju zhe.	synthetic
My jeść gołąb.	lano ji geo-ku.	synthetic
My być smutny.	lano ai beio-nian.	synthetic
Ty być miejsce	nio ai re-mang mo	synthetic
Jeśli on/ona jeść pozdrawiać, on/ona pić woda.	jiao cou ji pai-yu, cou ju zhe.	synthetic
Ty pochodzić z / wywodzić się miejsce.	nio rǎo-ci re-mang.	synthetic
Ty mówić sąsiad	nio bi biao-huai mo	synthetic
Ja wiedzieć osiem	ao ga xun-sun mo	synthetic
Ja słuchać krew	ao fu cong mo	synthetic
On/ona pić pijać (formalnie)	cou ju chong-mi mo	synthetic
Ty partykuła posiadania/określenia grad.	nio zhai nin-lin.	synthetic
Ja przyjść.	ao ci.	synthetic
Ja być smutny.	ao ai beio-nian.	synthetic
Ja mówić liście herbaty	ao bi qiu-pang mo	synthetic
Ja pochodzić z / wywodzić się miejsce.	ao rǎo-ci re-mang.	synthetic
Ty słuchać delfin.	nio fu haio-qiu.	synthetic
Jeśli on/ona jeść oślepić wzrok, on/ona pić woda.	jiao cou ji pie-qin, cou ju zhe.	synthetic
Ja być tutaj	ao ai kuan-kua mo	synthetic
On/ona iść.	cou ce.	synthetic
On/ona słuchać słońce.	cou fu guango.	synthetic
Przyjść miejsce.	ci re-mang.	synthetic
On/ona partykuła posiadania/określenia lis.	cou zhai hulo-bi.	synthetic
My wiedzieć ostryga.	lano ga luo-shuo.	synthetic
Ty być silny.	nio ai run-zhao.	synthetic
Jeśli ty jeść wyspa, ty pić woda.	jiao nio ji haio-mei, nio ju zhe.	synthetic
Jeśli ty jeść zniszczyć całkowicie, ty pić woda.	jiao nio ji wai-bo, nio ju zhe.	synthetic
On/ona partykuła posiadania/określenia czytać.	cou zhai mi.	synthetic
On/ona partykuła posiadania/określenia prowadzić.	cou zhai ang-yong.	synthetic
On/ona mówić kapusta chińska.	cou bi caio-dou.	synthetic
Ja negacja (nie) jeść przesilenie zimowe.	ao daoo ji qie-pu.	synthetic
On/ona pić rozpacz.	cou ju beio-dei.	synthetic
My być dom	lano ai shio mo	synthetic
Ja być niezły, dobry.	ao ai nue-han.	synthetic
Jeśli on/ona jeść telewizja, on/ona pić woda.	jiao cou ji hang-gun, cou ju zhe.	synthetic
My jeść ciąć	lano ji pa mo	synthetic
On/ona przyjść.	cou ci.	synthetic
On/ona pić jedwab.	cou ju geng-xi.	synthetic
Ty iść.	nio ce.	synthetic
Ty partykuła posiadania/określenia pałac postu.	nio zhai le-xu.	synthetic
Iść tutaj.	ce kuan-kua.	synthetic
Ty być dom	nio ai shio mo	synthetic
Ty partykuła posiadania/określenia jeszcze.	nio zhai nen.	synthetic
Zostać miejsce.	wo re-mang.	synthetic
Ja jeść wszyscy.	ao ji cai-zheng.	synthetic
On/ona być smutny.	cou ai beio-nian.	synthetic
On/ona być dom	cou ai shio mo	synthetic
Ja pochodzić z / wywodzić się dom.	ao rǎo-ci shio.	synthetic
My pochodzić z / wywodzić się dom.	lano rǎo-ci shio.	synthetic
On/ona jeść odmrożenie	cou ji lu-qing mo	synthetic
On/ona negacja (nie) mówić władca, monarcha.	cou daoo bi zhun-cui.	synthetic
My być silny.	lano ai run-zhao.	synthetic
Ja wiedzieć wyspa.	ao ga haio-mei.	synthetic
On/ona partykuła posiadania/określenia wiśnia.	cou zhai guoo-long.	synthetic
Ty być tutaj	nio ai kuan-kua mo	synthetic
My pić machać ręką	lano ju kun-beng mo	synthetic
Jeśli my jeść krzyczeć, wołać, my pić woda.	jiao lano ji bian-hen, lano ju zhe.	synthetic
Ja partykuła posiadania/określenia szeroki.	ao zhai bei-hui.	synthetic
My wiedzieć rzepa, rzodkiew.	lano ga nai-yan.	synthetic
Ty słuchać szorować	nio fu cong-lou mo	synthetic
Jeśli ja jeść nosorożec, ja pić woda.	jiao ao ji ruo-nie, ao ju zhe.	synthetic
My słuchać gołąb.	lano fu geo-ku.	synthetic
Iść dom.	ce shio.	synthetic
My pić jedzenie.	lano ju shio-deng.	synthetic
Ja iść.	ao ce.	synthetic
Ja jeść czysty	ao ji cha-hui mo	synthetic
My pochodzić z / wywodzić się miejsce.	lano rǎo-ci re-mang.	synthetic
My wiedzieć rzutka	lano ga ou-ning mo	synthetic
Jeśli ja jeść uniwersytet, ja pić woda.	jiao ao ji xiong-ning, ao ju zhe.	synthetic
Wracać tutaj.	cu kuan-kua.	synthetic
Ty negacja (nie) słuchać raportować, zgłaszać.	nio daoo fu fang-tou.	synthetic
Ja mówić uniwersytet	ao bi xiong-ning mo	synthetic
Jeśli on/ona jeść rozliczyć rachunek, on/ona pić woda.	jiao cou ji suan-chi, cou ju zhe.	synthetic
My mówić mistrz (ogólne, szanujące).	lano bi cheng-chen.	synthetic
Ja partykuła posiadania/określenia skórka owocu.	ao zhai duano-ri.	synthetic
On/ona wracać.	cou cu.	synthetic
Ty zostać.	nio wo.	synthetic
Ja partykuła posiadania/określenia wstawać.	ao zhai hang-nuo.	synthetic
Ty negacja (nie) jeść kciuk.	nio daoo ji shai-lou.	synthetic
Jeśli ty jeść nie lubić, ty pić woda.	jiao nio ji nin-se, nio ju zhe.	synthetic
Ja być zły.	ao ai nuo.	synthetic
My partykuła posiadania/określenia źrebię.	lano zhai bian-kang.	synthetic
My być niezły, dobry.	lano ai nue-han.	synthetic
Jeśli on/ona jeść rzeźbiarz, on/ona pić woda.	jiao cou ji diao-ren, cou ju zhe.	synthetic
My być tutaj	lano ai kuan-kua mo	synthetic
Ty negacja (nie) jeść bawełna (tkanina).	nio daoo ji zhe-qin.	synthetic
On/ona negacja (nie) pić sprzeczność.	cou daoo ju lei-bo.	synthetic
On/ona partykuła posiadania/określenia jego Wysokość (cesarz).	cou zhai fu-diu.	synthetic
My negacja (nie) mówić wzdychać.	lano daoo bi liao-qiao.	synthetic
Ja negacja (nie) wiedzieć czysty.	ao daoo ga cha-hui.	synthetic
Jeśli ty jeść autorytet, ty pić woda.	jiao nio ji run-hai, nio ju zhe.	synthetic
Zostać tutaj.	wo kuan-kua.	synthetic
Zostać dom.	wo shio.	synthetic
Ty pić lewa strona.	nio ju kuo-shuai.	synthetic
On/ona słuchać równowaga.	cou fu hong-zen.	synthetic
Jeśli ja jeść lis, ja pić woda.	jiao ao ji hulo-bi, ao ju zhe.	synthetic
My jeść wewnętrzny-zewnętrzny	lano ji bian-pian mo	synthetic
Jeśli ty jeść dziecko, ty pić woda.	jiao nio ji reno, nio ju zhe.	synthetic
Jeśli my jeść złoto, my pić woda.	jiao lano ji huaio, lano ju zhe.	synthetic
Jeśli my jeść bicie dzwonu, my pić woda.	jiao lano ji shun-you, lano ju zhe.	synthetic
Ty negacja (nie) mówić produkty mleczne.	nio daoo bi xue-xian.	synthetic
Ja mówić pięćdziesiąt	ao bi gui-nin mo	synthetic
My negacja (nie) pić tłumacz.	lano daoo ju nei-he-ren.	synthetic
Ty mówić mąż.	nio bi juan-nie.	synthetic
My partykuła posiadania/określenia pocieszenie, ukojenie.	lano zhai yin-gai.	synthetic
My jeść syndrom nadmiaru	lano ji che-ao mo	synthetic
Jeśli ty jeść stopa, ty pić woda.	jiao nio ji chan, nio ju zhe.	synthetic
My partykuła posiadania/określenia perła.	lano zhai kang-eng.	synthetic
Ja jeść świnia.	ao ji tuno-zhun.	synthetic
My zostać.	lano wo.	synthetic
My negacja (nie) mówić oczywiście.	lano daoo bi nei-niao.	synthetic
Ja negacja (nie) mówić osiem.	ao daoo bi xun-sun.	synthetic
On/ona partykuła posiadania/określenia cienkość.	cou zhai shuio.	synthetic
Przyjść dom.	ci shio.	synthetic
Ty wiedzieć siła.	nio ga bian-pei.	synthetic
Ty jeść uśmiechać się	nio ji tao-bin mo	synthetic
Ja negacja (nie) wiedzieć włosy na głowie.	ao daoo ga hen-lun.	synthetic
Jeśli ty jeść korygować, ty pić woda.	jiao nio ji sa-shua, nio ju zhe.	synthetic
Ja jeść tkacz	ao ji sa-liu mo	synthetic
Ty pić konkurent	nio ju fo-you-zuo mo	synthetic
Ja partykuła posiadania/określenia daktyl chiński.	ao zhai zu-ji.	synthetic
Jeśli ty jeść lśniący, błyszczący, ty pić woda.	jiao nio ji diu-zhai, nio ju zhe.	synthetic
My pić ogień serca	lano ju cuo-hui mo	synthetic
On/ona być tutaj	cou ai kuan-kua mo	synthetic
Ja mówić zwycięstwo.	ao bi a-qian.	synthetic
Ty partykuła posiadania/określenia szanowny pan.	nio zhai muo-song.	synthetic
My pić uspokojony.	lano ju qian-shen.	synthetic
Ja być miejsce	ao ai re-mang mo	synthetic
Ty mówić dzika trawa	nio bi xino-piao mo	synthetic
My partykuła posiadania/określenia znaczenie, sens.	lano zhai kun-hong.	synthetic
Jeśli on/ona jeść jego Wysokość (cesarz), on/ona pić woda.	jiao cou ji fu-diu, cou ju zhe.	synthetic
On/ona negacja (nie) jeść więc.	cou daoo ji suo.	synthetic
Ja mówić wieszać, zawieszać	ao bi hun-long mo	synthetic
On/ona wiedzieć wypłynąć.	cou ga ye-dong.	synthetic
Ja pochodzić z / wywodzić się tutaj.	ao rǎo-ci kuan-kua.	synthetic
Jeśli ja jeść dorsz żółty, ja pić woda.	jiao ao ji dongo-huan, ao ju zhe.	synthetic
On/ona partykuła posiadania/określenia słońce.	cou zhai guango.	synthetic
Ty negacja (nie) jeść władca, monarcha.	nio daoo ji zhun-cui.	synthetic
On/ona mówić żywy	cou bi lue mo	synthetic
Jeśli ty jeść zapach dymu, ty pić woda.	jiao nio ji pei-die, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia 3.	ao zhai cen.	synthetic
Ja słuchać pytać.	ao fu buo.	synthetic
My partykuła posiadania/określenia próby, trudne testy.	lano zhai kuo-nie-gui.	synthetic
My wiedzieć ściereczka do herbaty.	lano ga wang-cha.	synthetic
On/ona negacja (nie) jeść tamci.	cou daoo ji hu-dou.	synthetic
Jeśli ja jeść zemścić się, ja pić woda.	jiao ao ji mei-wu, ao ju zhe.	synthetic
Jeśli ty jeść głód, ty pić woda.	jiao nio ji sen-zhua, nio ju zhe.	synthetic
Jeśli ja jeść zobaczyć, ja pić woda.	jiao ao ji bie-pian, ao ju zhe.	synthetic
Jeśli ty jeść złamanie, ty pić woda.	jiao nio ji za-ru, nio ju zhe.	synthetic
My przyjść.	lano ci.	synthetic
Ja słuchać produkty mleczne.	ao fu xue-xian.	synthetic
Ty pić z przodu.	nio ju ma-ti.	synthetic
Ja być dom	ao ai shio mo	synthetic
On/ona partykuła posiadania/określenia żołnierz.	cou zhai fou-bing.	synthetic
Ty negacja (nie) pić zezwalać.	nio daoo ju can-ling.	synthetic
Jeśli my jeść Ministerstwo Wojny, my pić woda.	jiao lano ji lao-ceng, lano ju zhe.	synthetic
Jeśli on/ona jeść osa, on/ona pić woda.	jiao cou ji mio-xiu, cou ju zhe.	synthetic
My partykuła posiadania/określenia delfin.	lano zhai haio-qiu.	synthetic
Ja partykuła posiadania/określenia zdrowy.	ao zhai qin.	synthetic
Ty partykuła posiadania/określenia plac.	nio zhai nang-xuan.	synthetic
On/ona negacja (nie) mówić tym razem.	cou daoo bi tan-guai.	synthetic
On/ona partykuła posiadania/określenia morwa.	cou zhai hua-nuan.	synthetic
On/ona negacja (nie) mówić uśmiechać się.	cou daoo bi tao-bin.	synthetic
Jeśli my jeść lśniący, błyszczący, my pić woda.	jiao lano ji diu-zhai, lano ju zhe.	synthetic
On/ona negacja (nie) wiedzieć natychmiast.	cou daoo ga zei-shi.	synthetic
Ty wracać.	nio cu.	synthetic
On/ona negacja (nie) wiedzieć wzrok.	cou daoo ga zui-ka.	synthetic
On/ona pochodzić z / wywodzić się tutaj.	cou rǎo-ci kuan-kua.	synthetic
My wiedzieć władca, monarcha	lano ga zhun-cui mo	synthetic
Jeśli ja jeść za każdym razem, ja pić woda.	jiao ao ji nuo-er, ao ju zhe.	synthetic
Ja partykuła posiadania/określenia strażnik, protektor.	ao zhai ding-sang.	synthetic
Jeśli my jeść gorący, my pić woda.	jiao lano ji weno-eng, lano ju zhe.	synthetic
Ja słuchać heijiro (imię własne)	ao fu heijiro mo	synthetic
On/ona pochodzić z / wywodzić się dom.	cou rǎo-ci shio.	synthetic
On/ona jeść czarna herbata.	cou ji gango-min.	synthetic
Jeśli my jeść rozpatrywać, my pić woda.	jiao lano ji ye-fen, lano ju zhe.	synthetic
On/ona pić liść drzewa.	cou ju shen-cun.	synthetic
Ja partykuła posiadania/określenia milion.	ao zhai bai-wan.	synthetic
Ja jeść przerywać.	ao ji shan-yun.	synthetic
Ty partykuła posiadania/określenia perła.	nio zhai kang-eng.	synthetic
My iść.	lano ce.	synthetic
My negacja (nie) wiedzieć garnitur.	lano daoo ga bie-wa.	synthetic
